PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR,PLAYER_NAME,HEIGHT_INCHES,WEIGHT_LBS,IS_UNDRAFTED
77047,Holton,Michael,michael-holton,1610612757,blazers,0,Portland,Trail Blazers,POR,6,G,UCLA,USA,1983.0,3.0,53.0,,6.2,1.4,3.0,Career,1984,1989,Michael Holton,76.0,185.0,False
77048,Holub,Dick,dick-holub,1610612752,knicks,0,New York,Knicks,NYK,11,C,Long Island-Brooklyn,USA,1947.0,1.0,5.0,,10.5,0.0,0.8,Career,1947,1947,Dick Holub,78.0,205.0,False
77049,Holup,Joe,joe-holup,1610612765,pistons,0,Detroit,Pistons,DET,9,F,George Washington,USA,1956.0,1.0,5.0,,7.0,4.4,1.0,Career,1956,1958,Joe Holup,78.0,215.0,False
77050,Holzman,Red,red-holzman,1610612758,kings,0,Sacramento,Kings,SAC,10,G,City College of New York,USA,,,,,6.1,1.5,2.0,Career,1948,1953,Red Holzman,70.0,175.0,True
1630258,Homesley,Caleb,caleb-homesley,1610612764,wizards,0,Washington,Wizards,WAS,,G,Liberty,USA,,,,,0.0,0.0,0.0,Career,2020,2020,Caleb Homesley,78.0,205.0,True
1532,Honeycutt,Jerald,jerald-honeycutt,1610612749,bucks,0,Milwaukee,Bucks,MIL,25,F-G,Tulane,USA,1997.0,2.0,38.0,,5.1,1.9,0.7,Career,1997,1998,Jerald Honeycutt,81.0,254.0,False
202715,Honeycutt,Tyler,tyler-honeycutt,1610612758,kings,0,Sacramento,Kings,SAC,3,F,UCLA,USA,2011.0,2.0,35.0,,1.2,1.0,0.4,Career,2011,2012,Tyler Honeycutt,80.0,188.0,False
1967,Hood,Derek,derek-hood,1610612766,hornets,0,Charlotte,Hornets,CHA,55,F,Arkansas,USA,,,,,0.0,0.5,0.0,Career,1999,2002,Derek Hood,80.0,222.0,True
203918,Hood,Rodney,rodney-hood,1610612746,clippers,0,LA,Clippers,LAC,22,G-F,Duke,USA,2014.0,1.0,23.0,,10.4,2.6,1.6,Career,2014,2021,Rodney Hood,80.0,208.0,False
1641720,Hood-Schifino,Jalen,jalen-hood-schifino,1610612755,sixers,0,Philadelphia,76ers,PHI,17,G,Indiana,USA,2023.0,1.0,17.0,1.0,7.1,1.8,2.5,Season,2023,2024,Jalen Hood-Schifino,77.0,210.0,False
77051,Hoover,Tom,tom-hoover,1610612752,knicks,0,New York,Knicks,NYK,12,C,Villanova,USA,1963.0,1.0,6.0,,3.5,4.3,0.6,Career,1963,1966,Tom Hoover,81.0,230.0,False
77052,Hopkins,Bob,bob-hopkins,1610612755,sixers,0,Philadelphia,76ers,PHI,9,C,Grambling,USA,1956.0,10.0,75.0,,8.2,5.6,0.7,Career,1956,1959,Bob Hopkins,80.0,205.0,False
77053,Hoppen,Dave,dave-hoppen,1610612766,hornets,0,Charlotte,Hornets,CHA,42,C,Nebraska,USA,1986.0,3.0,65.0,,5.0,3.8,0.6,Career,1987,1992,Dave Hoppen,83.0,235.0,False
77054,Hopson,Dennis,dennis-hopson,1610612751,nets,0,Brooklyn,Nets,BKN,20,F,Ohio State,USA,1987.0,1.0,3.0,,10.9,2.8,1.6,Career,1987,1991,Dennis Hopson,77.0,200.0,False
203816,Hopson,Scotty,scotty-hopson,1610612760,thunder,0,Oklahoma City,Thunder,OKC,24,G,Tennessee,USA,2011.0,0.0,0.0,,1.5,0.3,0.8,Career,2013,2021,Scotty Hopson,79.0,204.0,False
77055,Horan,Johnny,johnny-horan,1610612747,lakers,0,Los Angeles,Lakers,LAL,,F,Dayton,USA,1955.0,1.0,6.0,,1.8,0.5,0.1,Career,1955,1955,Johnny Horan,80.0,190.0,False
77056,Hordges,Cedrick,cedrick-hordges,1610612743,nuggets,0,Denver,Nuggets,DEN,34,C,South Carolina,USA,1979.0,3.0,49.0,,7.6,5.9,1.2,Career,1980,1981,Cedrick Hordges,80.0,220.0,False
201143,Horford,Al,al-horford,1610612738,celtics,0,Boston,Celtics,BOS,42,C-F,Florida,Dominican Republic,2007.0,1.0,3.0,1.0,9.0,6.2,2.1,Season,2007,2024,Al Horford,81.0,240.0,False
77057,Horford,Tito,tito-horford,1610612749,bucks,0,Milwaukee,Bucks,MIL,42,C,Miami,USA,1988.0,2.0,39.0,,1.5,1.3,0.1,Career,1988,1993,Tito Horford,85.0,245.0,False
77058,Horn,Ron,ron-horn,1610612747,lakers,0,Los Angeles,Lakers,LAL,24,F,Indiana,USA,1961.0,2.0,16.0,,2.5,2.5,0.4,Career,1961,1962,Ron Horn,79.0,220.0,False
204,Hornacek,Jeff,jeff-hornacek,1610612762,jazz,0,Utah,Jazz,UTA,14,G,Iowa State,USA,1986.0,2.0,46.0,,14.5,3.4,4.9,Career,1986,1999,Jeff Hornacek,76.0,190.0,False
202862,Horner,Dennis,dennis-horner,1610612751,nets,0,Brooklyn,Nets,BKN,31,F,North Carolina State,USA,,,,,0.6,0.6,0.0,Career,2011,2011,Dennis Horner,81.0,230.0,True
109,Horry,Robert,robert-horry,1610612747,lakers,0,Los Angeles,Lakers,LAL,25,F-C,Alabama,USA,1992.0,1.0,11.0,,7.0,4.8,2.1,Career,1992,2007,Robert Horry,82.0,240.0,False
77060,Horton,Ed,ed-horton,1610612764,wizards,0,Washington,Wizards,WAS,32,C,Iowa,USA,1989.0,2.0,39.0,,4.5,2.4,0.4,Career,1989,1989,Ed Horton,80.0,230.0,False
1629659,Horton-Tucker,Talen,talen-horton-tucker,1610612741,bulls,0,Chicago,Bulls,CHI,22,G,Iowa State,USA,2019.0,2.0,46.0,1.0,6.5,1.7,1.4,Season,2019,2024,Talen Horton-Tucker,76.0,234.0,False
77061,Hosket,Wilmer,wilmer-hosket,1610612752,knicks,0,New York,Knicks,NYK,25,F,Ohio State,USA,1968.0,1.0,10.0,,4.0,2.5,0.7,Career,1968,1971,Wilmer Hosket,79.0,225.0,False
77062,Houbregs,Bob,bob-houbregs,1610612765,pistons,0,Detroit,Pistons,DET,17,C,Washington,USA,1953.0,1.0,2.0,,9.3,5.5,1.8,Career,1953,1957,Bob Houbregs,80.0,210.0,False
2067,House,Eddie,eddie-house,1610612748,heat,0,Miami,Heat,MIA,55,G,Arizona State,USA,2000.0,2.0,37.0,,7.5,1.7,1.6,Career,2000,2010,Eddie House,73.0,190.0,False
1627863,House Jr.,Danuel,danuel-house-jr,1610612755,sixers,0,Philadelphia,76ers,PHI,25,F-G,Texas A&M,USA,,,,,7.3,3.0,1.1,Career,2016,2023,Danuel House Jr.,78.0,220.0,True
1631216,Houstan,Caleb,caleb-houstan,1610612753,magic,0,Orlando,Magic,ORL,2,G,Michigan,Canada,2022.0,2.0,32.0,1.0,4.1,1.3,0.6,Season,2022,2024,Caleb Houstan,80.0,205.0,False
275,Houston,Allan,allan-houston,1610612752,knicks,0,New York,Knicks,NYK,20,G,Tennessee,USA,1993.0,1.0,11.0,,17.3,2.9,2.4,Career,1993,2004,Allan Houston,78.0,200.0,False
780,Houston,Byron,byron-houston,1610612744,warriors,0,Golden State,Warriors,GSW,35,F,Oklahoma State,USA,1992.0,1.0,27.0,,3.9,3.0,0.5,Career,1992,1995,Byron Houston,77.0,250.0,False
77064,Hovasse,Tom,tom-hovasse,1610612737,hawks,0,Atlanta,Hawks,ATL,17,F,Penn State,USA,,,,,0.0,0.0,0.0,Career,1994,1994,Tom Hovasse,80.0,205.0,True
77065,Howard,Brian,brian-howard,1610612742,mavericks,0,Dallas,Mavericks,DAL,41,F,North Carolina State,USA,,,,,6.0,2.8,0.9,Career,1991,1992,Brian Howard,78.0,204.0,True
2730,Howard,Dwight,dwight-howard,1610612747,lakers,0,Los Angeles,Lakers,LAL,39,C-F,SW Atlanta Christian Academy (GA),USA,2004.0,1.0,1.0,,15.7,11.8,1.3,Career,2004,2021,Dwight Howard,82.0,265.0,False
77066,Howard,Greg,greg-howard,1610612739,cavaliers,0,Cleveland,Cavaliers,CLE,40,F,New Mexico,USA,1970.0,1.0,10.0,,3.4,2.5,0.6,Career,1970,1971,Greg Howard,81.0,215.0,False
1641724,Howard,Jett,jett-howard,1610612753,magic,0,Orlando,Magic,ORL,13,G,Michigan,USA,2023.0,1.0,11.0,1.0,4.5,1.2,0.7,Season,2023,2024,Jett Howard,78.0,215.0,False
2572,Howard,Josh,josh-howard,1610612742,mavericks,0,Dallas,Mavericks,DAL,8,F,Wake Forest,USA,2003.0,1.0,29.0,,14.3,5.7,1.6,Career,2003,2012,Josh Howard,79.0,210.0,False
436,Howard,Juwan,juwan-howard,1610612764,wizards,0,Washington,Wizards,WAS,5,F,Michigan,USA,1994.0,1.0,5.0,,13.4,6.1,2.2,Career,1994,2012,Juwan Howard,81.0,250.0,False
1630210,Howard,Markus,markus-howard,1610612743,nuggets,0,Denver,Nuggets,DEN,00,G,Marquette,USA,,,,,3.4,0.5,0.4,Career,2020,2021,Markus Howard,70.0,175.0,True
77067,Howard,Mo,mo-howard,1610612762,jazz,0,Utah,Jazz,UTA,14,G,Maryland,USA,1976.0,2.0,32.0,,4.8,1.2,1.3,Career,1976,1976,Mo Howard,74.0,170.0,False
77069,Howard,Otis,otis-howard,1610612765,pistons,0,Detroit,Pistons,DET,32,F,Austin Peay,USA,1978.0,4.0,80.0,,4.2,2.9,0.4,Career,1978,1978,Otis Howard,79.0,220.0,False
1128,Howard,Stephen,stephen-howard,1610612762,jazz,0,Utah,Jazz,UTA,43,F,DePaul,USA,,,,,2.8,1.4,0.2,Career,1992,1997,Stephen Howard,81.0,245.0,True
1629739,Howard,William,william-howard,1610612745,rockets,0,Houston,Rockets,HOU,52,F-G,Limoges,France,,,,,0.0,1.0,0.5,Career,2019,2019,William Howard,80.0,207.0,True
77070,Howell,Bailey,bailey-howell,1610612765,pistons,0,Detroit,Pistons,DET,16,F,Mississippi State,USA,1959.0,1.0,2.0,,18.7,9.9,2.0,Career,1959,1970,Bailey Howell,79.0,210.0,False
77072,Hubbard,Bob,bob-hubbard,1610610032,,1,Providence,Steamrollers,PRO,,C,Springfield,USA,1947.0,,,,3.6,0.0,0.5,Career,1947,1948,Bob Hubbard,78.0,215.0,True
77071,Hubbard,Phil,phil-hubbard,1610612739,cavaliers,0,Cleveland,Cavaliers,CLE,35,F,Michigan,USA,1979.0,1.0,15.0,,10.9,5.3,1.3,Career,1979,1988,Phil Hubbard,80.0,215.0,False
1631309,Hudgins,Trevor,trevor-hudgins,1610612745,rockets,0,Houston,Rockets,HOU,12,G,Northwest Missouri St.,USA,,,,,1.8,0.0,0.6,Career,2022,2022,Trevor Hudgins,72.0,180.0,True
201991,Hudson,Lester,lester-hudson,1610612738,celtics,0,Boston,Celtics,BOS,14,G,Tennessee-Martin,USA,2009.0,2.0,58.0,,4.7,1.4,1.2,Career,2009,2014,Lester Hudson,75.0,190.0,False
